code,name,la,ln,Trains,train_orig
AKR,AKOLNER,74.66907,18.985409,6,0
AKRD,AKURDI,73.764244,18.64812,3,0
AKT,AKALTARA,82.422049,22.029121,25,0
AKU,ANGALAKUDURU,80.609091,16.245325,2,0
AKV,ANKLESHWAR JN,73.000633,21.623889,73,0
AKVD,AKIVIDU,81.369055,16.582654,25,0
AL,ATTILI,81.61636,16.68015,14,0
ALAI,ALAI,73.585768,27.337097,2,0
ALB,ALIA BADA,70.210367,22.44677,6,0
ALD,ALLAHABAD JN,81.828816,25.446241,197,11
ALER,ALER,79.0483414,17.6459553,18,0
ALJ,ALIGANJ,78.932709,29.143806,1,0
ALJN,ALIGARH JN,78.074559,27.889584,75,0
ALLP,ALLEPPEY,76.322476,9.483759,49,3
ALM,ALAMANDA,83.271604,18.01251,4,0
ALMR,ALAMPUR,71.699156,21.944013,6,0
ALN,ALANDI,74.093095,18.451229,1,0
ALNI,ALNIYA,75.90874587,25.03167572,1,0
ALPR,ALAMPUR ROAD,78.047012,15.895657,1,0
ALU,ARIYALUR,79.068318,11.150035,27,0
ALW,ALWAL,78.515006,17.505779,2,0
ALY,ALLAHABAD CITY,81.829736,25.44241,25,1
AMB,AMBODALA,83.45635248,19.83632346,20,0
AMBR,AMBIKA ROHINA,76.94372065,18.44225438,2,0
AMC,AMRITAPURA,76.24556343,14.13954873,2,0
AME,AMETHI,81.806276,26.153024,47,0
AMG,ALAMNAGAR,80.860312,26.84708,14,0
AMH,AZAMGARH,83.160614,26.038607,26,3
AMI,AMRAVATI,77.7577863,20.9300829,11,5
AML,AMALSAD,72.956092,20.811373,13,0
AMLA,AMLA JN,78.123187,21.919717,46,0
AMLI,AMLI,76.286156,25.828156,4,0
AMP,AHMADPUR JN,87.69284109,23.83250906,23,0
AMPA,AMBALAPUZHA,76.363817,9.386059,20,0
AMPR,AMARPURA RATHAN,74.078953,29.483399,2,0
AMQ,AMMUGUDA,78.527215,17.487039,2,0
AMRO,AMROHA,78.474329,28.892688,44,0
AMS,AMAUSI,80.841544,26.77443,1,0
AMSA,AMMASANDRA,76.7114857,13.264571,6,0
AMX,AMLAKHURD,76.650685,21.510235,4,0
AMY,AKATHUMURI,76.758792,8.70031,2,0
AN,AMALNER,75.057314,21.049009,40,0
ANA,ASLANA,79.319493,23.860522,3,0
ANAS,ANAS,74.421513,22.866009,4,0
ANB,AMMANABROLU,80.148353,15.596402,8,0
ANDI,ADRSH NGR DELHI,77.166707,28.714205,5,1
ANDN,ANAND NAGAR,83.270698,27.103714,4,0
ANE,ANANTARAJUPET,79.302468,13.999592,2,0
ANF,ANANDAPURAM,75.209164,14.073324,6,0
ANG,AHMADNAGAR,74.72188247,19.07551948,58,0
ANGL,ANGUL,85.099994,20.859445,43,0
ANH,ANKORAH AKORHA,84.169539,24.761167,10,0
ANI,AJANTI,76.285956,21.893954,4,0
ANK,ANKAI,74.46975607,20.15102791,10,0
ANKL,ANKOLA,74.332936,14.645347,10,0
ANKX,ANK MMR DIRECT,74.4371028,20.2507881,36,0
ANMD,ARANG MAHANADI,81.955513,21.189614,2,0
ANND,ANAND JN,72.965733,22.561307,169,0
ANO,ANJANI,73.399308,17.620605,4,0
ANPR,ANPARA,82.766166,24.217386,3,0
ANR,ANARA,86.559763,23.481082,17,0
ANSB,ANANDPUR SAHIB,76.5006035,31.2305136,10,0
ANT,ANANTNAG,75.10713109,33.73853424,2,0
ANTU,ANTU,81.89778799,26.05516206,13,0
ANV,ANNAVARAM,82.419677,17.269633,50,0
ANVR,ANAND VIHAR,77.3140236,28.6486144,79,0
ANVT,ANAND VIHAR TRM,77.31521255,28.65050357,53,26
ANY,ARUMUGANERI,78.091842,8.579144,2,0
AO,AONLA,79.16915,28.296051,22,0
AONI,AMONI,92.919609,26.448121,2,0
AP,ASHOKAPURAM,76.635315,12.273762,2,0
APA,AMARPURA,74.249302,26.110973,2,0
APD,ALIPUR DUAR,89.520667,26.479307,2,0
APDJ,ALIPUR DUAR JN,89.534048,26.523279,28,3
API,AKKARAIPPATTI,77.92262799,10.39980799,2,0
APK,ARUPPUKKOTTAI,78.10189147,9.524631681,2,0
APL,APPIKATLA,80.514466,15.970371,2,0
APN,AYODHYAPATTANAM,78.233642,11.671392,2,0
APR,ANUPPUR JN,81.695967,23.117312,61,0
APT,ANAPARTI,81.953181,16.935817,24,0
APTA,APTA,73.152629,18.863471,4,0
AQG,ASHAPURA GOMAT,71.892665,26.950232,11,0
