train_no,train_name,source_code,source_name,des_code,des_name
'04404',ANVT LKO SPL   ,ANVT,ANAND VIHAR TRM,LKO ,LUCKNOW NR     
'04405',LKO NDLS SPL   ,LKO ,LUCKNOW NR     ,NDLS,NEW DELHI      
'04406',NDLS LKO SPL   ,NDLS,NEW DELHI      ,LKO ,LUCKNOW NR     
'04407',DLI SPL        ,DBG ,DARBHANGA JN   ,DLI ,DELHI          
'04408',DLI DBG SPL    ,DLI ,DELHI          ,DBG ,DARBHANGA JN   
'04413',DEE SVDK SPL   ,DEE ,DELHI S ROHILLA,SVDK,SHMATA VD KATRA
'04414',SVDK DEE SPL   ,SVDK,SHMATA VD KATRA,DEE ,DELHI S ROHILLA
'04415',BJU NDLS AC SPL,BJU ,BARAUNI JN     ,NDLS,NEW DELHI      
'04416',NDLS BJU AC  SP,NDLS,NEW DELHI      ,BJU ,BARAUNI JN     
'04735',BKN HW SPL     ,BKN ,BIKANER JN     ,HW  ,HARIDWAR JN    
'04736',HW BKN SPL     ,HW  ,HARIDWAR JN    ,BKN ,BIKANER JN     
'04801',JU JSMSPL      ,JU  ,JODHPUR JN     ,JSM ,JAISALMER      
'04802',JSM JU SPL     ,JSM ,JAISALMER      ,JU  ,JODHPUR JN     
'04923',LKO NLDM SF SPL,LKO ,LUCKNOW NR     ,NLDM,NANGAL DAM     
'04924',NLDM LKO SF SPL,NLDM,NANGAL DAM     ,LKO ,LUCKNOW NR     
'04927',BSB CDG SPECIAL,BSB ,VARANASI JN    ,CDG ,CHANDIGARH     
'04928',CDG BSB SPECIAL,CDG ,CHANDIGARH     ,BSB ,VARANASI JN    
'04941',LKO SVDK SPL   ,LKO ,LUCKNOW NR     ,SVDK,SHMATA VD KATRA
'04942',SVDK LKO SPL   ,SVDK,SHMATA VD KATRA,LKO ,LUCKNOW NR     
'05010',GKP SGG SPL    ,GKP ,GORAKHPUR JN   ,SGG ,SULTANGANJ     
'05027',SUVDHA SPL     ,GKP ,GORAKHPUR JN   ,ANVT,ANAND VIHAR TRM
'05028',SUVIDHA SPL    ,ANVT,ANAND VIHAR TRM,GKP ,GORAKHPUR JN   
'05065',CPR LJN SPL    ,CPR ,CHHAPRA        ,LJN ,LUCKNOW NE     
'05066',LJN CPR SPL    ,LJN ,LUCKNOW NE     ,CPR ,CHHAPRA        
'05115',CPR SVDKSPL    ,CPR ,CHHAPRA        ,SVDK,SHMATA VD KATRA
'05116',SVDK CPR SPL   ,SVDK,SHMATA VD KATRA,CPR ,CHHAPRA        
'05817',APDJ DBB SPECIA,APDJ,ALIPUR DUAR JN ,DBB ,DHUBRI         
'05818',DBB APDJ SPECIA,DBB ,DHUBRI         ,APDJ,ALIPUR DUAR JN 
'05967',RNY DBRG SPECIA,RNY ,RANGIYA JN     ,DBRG,DIBRUGARH      
'05968',DBRG RNY SPECIA,DBRG,DIBRUGARH      ,RNY ,RANGIYA JN     
'06063',TIRUNELVELI EXP,MS  ,CHENNAI EGMORE ,TEN ,TIRUNELVELI    
'06064',TEN CHENNAI EXP,TEN ,TIRUNELVELI    ,MS  ,CHENNAI EGMORE 
'06065',MAS ERS EXP    ,MAS ,CHENNAI CENTRAL,ERS ,ERNAKULAM JN   
'06066',CHENNAI EXP    ,ERS ,ERNAKULAM JN   ,MAS ,CHENNAI CENTRAL
'06228',MYSORE EXP     ,TLGP,TALGUPPA       ,MYS ,MYSORE JN      
'06335',GHY KCVL SPECIA,GHY ,GUWAHATI       ,KCVL,KOCHUVELI      
'06336',GUWAHATI EXP   ,KCVL,KOCHUVELI      ,GHY ,GUWAHATI       
'06541',YPR PVR EXP    ,YPR ,YESVANTPUR JN  ,PVR ,PANDHARPUR     
'06542',PVR YPR SPECIAL,PVR ,PANDHARPUR     ,YPR ,YESVANTPUR JN  
'06543',YPR  CBE EXP   ,YPR ,YESVANTPUR JN  ,CBE ,COIMBATORE JN  
'06544',YESVANTPUR EXP ,CBE ,COIMBATORE JN  ,YPR ,YESVANTPUR JN  
'06948',UBL VSG LINK EX,UBL ,HUBLI JN       ,VSG ,VASCO DA GAMA  
'07239',PUSHKARAM SPL  ,VSKP,VISAKHAPATNAM  ,NDD ,NIDADAVOLU JN  
'07265',TPTY SC SPL    ,TPTY,TIRUPATI       ,SC  ,SECUNDERABAD JN
'07301',TALGUPPA EXP   ,MYS ,MYSORE JN      ,TLGP,TALGUPPA       
'07323',MAS HUBLI EXP  ,MAS ,CHENNAI CENTRAL,UBL ,HUBLI JN       
'07324',UBL MAS EXP    ,UBL ,HUBLI JN       ,MAS ,CHENNAI CENTRAL
'07703',PUSHKARAM SPL  ,COA ,KAKINADA PORT  ,HYB ,HYDERABAD DECAN
'07704',PUSHKARAM SPL  ,HYB ,HYDERABAD DECAN,COA ,KAKINADA PORT  
'07707',PUSHKARAM SPL  ,CHE ,SRIKAKULAM ROAD,HYB ,HYDERABAD DECAN
'07708',PUSHKARAM SPL  ,HYB ,HYDERABAD DECAN,CHE ,SRIKAKULAM ROAD
'07710',PUSHKARAM SPL  ,PVP ,PARVATIPURAM   ,DMM ,DHARMAVARAM JN 
'07711',PUSHKARAM SPL  ,VSKP,VISAKHAPATNAM  ,TPTY,TIRUPATI       
'07712',PUSHKARAM SPL  ,DMM ,DHARMAVARAM JN ,VSKP,VISAKHAPATNAM  
'07713',PUSHKARAM SPL  ,AKP ,ANAKAPALLE     ,MTM ,MACHILIPATNAM  
'07714',PUSHKARAM SPL  ,BZA ,VIJAYAWADA JN  ,VSKP,VISAKHAPATNAM  
'07717',PUSHKARAM SPL  ,TPTY,TIRUPATI       ,RJY ,RAJAHMUNDRY    
'07718',PUSHKARAM SPL  ,RJY ,RAJAHMUNDRY    ,TPTY,TIRUPATI       
'07719',PUSHKARAM SPL  ,BDCR,BHADRACHALAM RD,SC  ,SECUNDERABAD JN
